"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","340,110,990","*****"
"    Under 18 years","72,929,312","±31,522"
"    18 to 24 years","31,270,959","±48,363"
"    25 to 34 years","46,198,405","±43,885"
"    35 to 44 years","45,956,885","±36,741"
"    45 to 54 years","40,822,885","±34,958"
"    55 to 64 years","41,687,261","±18,991"
"    65 years and over","61,245,283","±24,867"
