"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","340,110,990","*****"
"    White alone","203,349,963","±126,334"
"    Black or African American alone","41,115,988","±105,449"
"    American Indian and Alaska Native alone","3,433,243","±54,565"
"    Asian alone","21,333,453","±46,902"
"    Native Hawaiian and Other Pacific Islander alone","652,181","±18,258"
"    Some Other Race alone","25,282,912","±137,517"
"    Two or More Races","44,943,250","±197,808"
