"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","235,910,719","±69,861"
"    Less than 9th grade","10,908,872","±89,392"
"    9th to 12th grade, no diploma","12,868,166","±98,665"
"    High school graduate (includes equivalency)","60,698,932","±181,262"
"    Some college, no degree","43,653,533","±119,821"
"    Associate's degree","20,848,519","±84,517"
"    Bachelor's degree","52,233,014","±177,628"
"    Graduate or professional degree","34,699,683","±155,048"
