"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","132,737,146","±140,273"
"    Less than $20,000","14,798,144","±74,690"
"    $20,000 to $39,999","16,912,130","±73,340"
"    $40,000 to $59,999","17,393,902","±72,529"
"    $60,000 to $99,999","28,999,579","±98,727"
"    $100,000 to $149,999","23,570,258","±95,980"
"    $150,000 to $199,999","12,831,982","±72,815"
"    $200,000 or more","18,231,151","±73,173"
