Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2025,Arizona,53613,-13,-13,0.004562044,0.004187605,1.203671178,1.203671178,5,5,0
2023,Arizona,53901,-13,,0.503971119,,1.203671178,,698,,0
2024,Arizona,53901,-13,-13,0.549413735,0.503971119,1.203671178,1.203671178,656,698,0
2025,Arizona,53901,-13,-13,0.561131387,0.549413735,1.203671178,1.203671178,615,656,0
2023,Arizona,58669,-13,,0.007220217,,1.203671178,,10,,0
2024,Arizona,58669,-13,-13,0.008375209,0.007220217,1.203671178,1.203671178,10,10,1
2023,Arizona,66105,-13,,0.002888087,,1.203671178,,4,,0
2024,Arizona,66105,-13,-13,0.003350084,0.002888087,1.203671178,1.203671178,4,4,0
2025,Arizona,66105,-13,-13,0.003649635,0.003350084,1.203671178,1.203671178,4,4,0
2025,Arizona,68445,-13,,0.070255474,,1.203671178,,77,,0
2023,Arizona,77352,-13,,0.005776173,,1.203671178,,8,,0
2024,Arizona,77352,-13,-13,0.006700168,0.005776173,1.203671178,1.203671178,8,8,0
2025,Arizona,77352,-13,-13,0.00729927,0.006700168,1.203671178,1.203671178,8,8,0
2024,Arizona,82011,-13,,0.001675042,,1.203671178,,2,,0
2025,Arizona,82011,-13,-13,0.001824818,0.001675042,1.203671178,1.203671178,2,2,0
2023,Arizona,85533,-13,,0.018772563,,1.203671178,,26,,0
2024,Arizona,85533,-13,-13,0.021775544,0.018772563,1.203671178,1.203671178,26,26,0
2025,Arizona,85533,-13,-13,0.023722628,0.021775544,1.203671178,1.203671178,26,26,0
2023,Arizona,86830,-13,,0.002166065,,1.203671178,,3,,0
2024,Arizona,86830,-13,-13,0.002512563,0.002166065,1.203671178,1.203671178,3,3,0
2025,Arizona,86830,-13,-13,0.001824818,0.002512563,1.203671178,1.203671178,2,3,0
2023,Arizona,91450,-13,,0.149458484,,1.203671178,,207,,0
2024,Arizona,91450,-13,-13,0.12479062,0.149458484,1.203671178,1.203671178,149,207,0
2025,Arizona,91450,-13,-13,0.075729927,0.12479062,1.203671178,1.203671178,83,149,0
2023,Arizona,97667,-13,,0.067148014,,1.203671178,,93,,0
2024,Arizona,97667,-13,-13,0.052763819,0.067148014,1.203671178,1.203671178,63,93,0
2025,Arizona,97667,-13,-13,0.037408759,0.052763819,1.203671178,1.203671178,41,63,0
2026,Arizona,,-13,,,,1.203671178,,0,,0
2023,Arkansas,13262,-21,,0.072368421,,1.404023068,,22,,0
2024,Arkansas,13262,-21,-21,0.085526316,0.072368421,1.404023068,1.404023068,26,22,0
2025,Arkansas,13262,-21,-21,0.113793103,0.085526316,1.404023068,1.404023068,33,26,0
2023,Arkansas,26904,-21,,0.026315789,,1.404023068,,8,,1
2025,Arkansas,26904,-21,-21,0.027586207,0.026315789,1.404023068,1.404023068,8,8,0
2023,Arkansas,28348,-21,,0.016447368,,1.404023068,,5,,0
2024,Arkansas,28348,-21,-21,0.016447368,0.016447368,1.404023068,1.404023068,5,5,0
2025,Arkansas,28348,-21,-21,0.017241379,0.016447368,1.404023068,1.404023068,5,5,0
2023,Arkansas,37903,-21,,0.095394737,,1.404023068,,29,,0
2024,Arkansas,37903,-21,-21,0.095394737,0.095394737,1.404023068,1.404023068,29,29,0
2025,Arkansas,37903,-21,-21,0.1,0.095394737,1.404023068,1.404023068,29,29,0
2024,Arkansas,38545,-21,,0.013157895,,1.404023068,,4,,0
2025,Arkansas,38545,-21,-21,0.020689655,0.013157895,1.404023068,1.404023068,6,4,0
2024,Arkansas,48772,-21,,0.085526316,,1.404023068,,26,,0
2025,Arkansas,48772,-21,-21,0.113793103,0.085526316,1.404023068,1.404023068,33,26,0
2023,Arkansas,62141,-21,,0.411184211,,1.404023068,,125,,0
2024,Arkansas,62141,-21,-21,0.388157895,0.411184211,1.404023068,1.404023068,118,125,0
2025,Arkansas,62141,-21,-21,0.310344828,0.388157895,1.404023068,1.404023068,90,118,0
2023,Arkansas,70525,-21,,0.121710526,,1.404023068,,37,,0
2024,Arkansas,70525,-21,-21,0.121710526,0.121710526,1.404023068,1.404023068,37,37,0
2025,Arkansas,70525,-21,-21,0.127586207,0.121710526,1.404023068,1.404023068,37,37,0
2023,Arkansas,75293,-21,,0.256578947,,1.404023068,,78,,0
2024,Arkansas,75293,-21,-21,0.194078947,0.256578947,1.404023068,1.404023068,59,78,0
2025,Arkansas,75293,-21,-21,0.168965517,0.194078947,1.404023068,1.404023068,49,59,0
2026,Arkansas,,-21,,,,1.404023068,,0,,0
2023,California,,-48,,,,2.538435386,,0,,1
2024,California,,-48,,,,2.538435386,,0,,1
2025,California,,-48,,,,2.538435386,,0,,0
2026,California,,-48,,,,2.538435386,,0,,0
2023,Colorado,,-22,,,,1.351963495,,0,,1
2024,Colorado,,-22,,,,1.351963495,,0,,1
2025,Colorado,,-22,,,,1.351963495,,0,,0
2026,Colorado,,-22,,,,1.351963495,,0,,0
2023,Connecticut,,-113,,,,2.083929316,,0,,1
2024,Connecticut,,-113,,,,2.083929316,,0,,1
2025,Connecticut,,-113,,,,2.083929316,,0,,0
2026,Connecticut,,-113,,,,2.083929316,,0,,0
2023,Delaware,26018,-6,,0.018181818,,1.291813871,,3,,0
2024,Delaware,26018,-6,-6,0.010416667,0.018181818,1.291813871,1.291813871,3,3,0
2025,Delaware,26018,-6,-6,0.012658228,0.010416667,1.291813871,1.291813871,3,3,0
2024,Delaware,64004,-6,,0.416666667,,1.291813871,,120,,0
2025,Delaware,64004,-6,-6,0.35021097,0.416666667,1.291813871,1.291813871,83,120,0
2023,Delaware,67190,-6,,0.290909091,,1.291813871,,48,,0
2024,Delaware,67190,-6,-6,0.125,0.290909091,1.291813871,1.291813871,36,48,0
2025,Delaware,67190,-6,-6,0.046413502,0.125,1.291813871,1.291813871,11,36,0
2023,Delaware,67775,-6,,0.121212121,,1.291813871,,20,,0
2024,Delaware,67775,-6,-6,0.069444444,0.121212121,1.291813871,1.291813871,20,20,0
2025,Delaware,67775,-6,-6,0.084388186,0.069444444,1.291813871,1.291813871,20,20,0
2023,Delaware,72760,-6,,0.115151515,,1.291813871,,19,,0
2024,Delaware,72760,-6,-6,0.104166667,0.115151515,1.291813871,1.291813871,30,19,0
