Location,BusinessYear,StateCode,IssuerId,PlanId
Alabama,2023,AL,53932.0,53932AL0100013-03
Alabama,2023,AL,60075.0,60075AL0010001-00
Alabama,2023,AL,60075.0,60075AL0010001-01
Alabama,2023,AL,60075.0,60075AL0020001-00
Alabama,2023,AL,60075.0,60075AL0020001-01
Alabama,2023,AL,69461.0,69461AL0110007-00
Alabama,2023,AL,69461.0,69461AL0110007-01
Alabama,2023,AL,69461.0,69461AL0110007-02
Alabama,2023,AL,69461.0,69461AL0110007-03
Alabama,2023,AL,69461.0,69461AL0110015-00
Alabama,2023,AL,69461.0,69461AL0110015-01
Alabama,2023,AL,69461.0,69461AL0110015-02
Alabama,2023,AL,69461.0,69461AL0110015-03
Alabama,2023,AL,69461.0,69461AL0110016-00
Alabama,2023,AL,69461.0,69461AL0110016-01
Alabama,2023,AL,69461.0,69461AL0110016-02
Alabama,2023,AL,69461.0,69461AL0110016-03
Alabama,2023,AL,69461.0,69461AL0110017-00
Alabama,2023,AL,69461.0,69461AL0110017-01
Alabama,2023,AL,69461.0,69461AL0110017-02
Alabama,2023,AL,69461.0,69461AL0110017-03
Alabama,2023,AL,69461.0,69461AL0110018-00
Alabama,2023,AL,69461.0,69461AL0110018-01
Alabama,2023,AL,69461.0,69461AL0110018-02
Alabama,2023,AL,69461.0,69461AL0110018-03
Alabama,2023,AL,69461.0,69461AL0110019-00
Alabama,2023,AL,69461.0,69461AL0110019-01
Alabama,2023,AL,69461.0,69461AL0110019-02
Alabama,2023,AL,69461.0,69461AL0110019-03
Alabama,2023,AL,69461.0,69461AL0110011-00
Alabama,2023,AL,69461.0,69461AL0110011-01
Alabama,2023,AL,69461.0,69461AL0110011-02
Alabama,2023,AL,69461.0,69461AL0110011-03
Alabama,2023,AL,69461.0,69461AL0110011-04
Alabama,2023,AL,69461.0,69461AL0110011-05
Alabama,2023,AL,69461.0,69461AL0110011-06
Alabama,2023,AL,69461.0,69461AL0110004-00
Alabama,2023,AL,69461.0,69461AL0110004-01
Alabama,2023,AL,69461.0,69461AL0110004-02
Alabama,2023,AL,69461.0,69461AL0110004-03
Alabama,2023,AL,69461.0,69461AL0110004-04
Alabama,2023,AL,69461.0,69461AL0110004-05
Alabama,2023,AL,69461.0,69461AL0110004-06
Alabama,2023,AL,69461.0,69461AL0110012-00
Alabama,2023,AL,69461.0,69461AL0110012-01
Alabama,2023,AL,69461.0,69461AL0110012-02
Alabama,2023,AL,69461.0,69461AL0110012-03
Alabama,2023,AL,69461.0,69461AL0110012-04
Alabama,2023,AL,69461.0,69461AL0110012-05
Alabama,2023,AL,69461.0,69461AL0110012-06
Alabama,2023,AL,69461.0,69461AL0110013-00
Alabama,2023,AL,69461.0,69461AL0110013-01
Alabama,2023,AL,69461.0,69461AL0110013-02
Alabama,2023,AL,69461.0,69461AL0110013-03
Alabama,2023,AL,69461.0,69461AL0110013-04
Alabama,2023,AL,69461.0,69461AL0110013-05
Alabama,2023,AL,69461.0,69461AL0110013-06
Alabama,2023,AL,69461.0,69461AL0110014-00
Alabama,2023,AL,69461.0,69461AL0110014-01
Alabama,2023,AL,69461.0,69461AL0110014-02
Alabama,2023,AL,69461.0,69461AL0110014-03
Alabama,2023,AL,69461.0,69461AL0110014-04
Alabama,2023,AL,69461.0,69461AL0110014-05
Alabama,2023,AL,69461.0,69461AL0110014-06
Alabama,2023,AL,69461.0,69461AL0110008-00
Alabama,2023,AL,69461.0,69461AL0110008-01
Alabama,2023,AL,69461.0,69461AL0110008-02
Alabama,2023,AL,69461.0,69461AL0110008-03
Alabama,2023,AL,69461.0,69461AL0110009-00
Alabama,2023,AL,69461.0,69461AL0110009-01
Alabama,2023,AL,69461.0,69461AL0110009-02
Alabama,2023,AL,69461.0,69461AL0110009-03
Alabama,2023,AL,69461.0,69461AL0110010-00
Alabama,2023,AL,69461.0,69461AL0110010-01
Alabama,2023,AL,69461.0,69461AL0110010-02
Alabama,2023,AL,69461.0,69461AL0110010-03
Alabama,2023,AL,82285.0,82285AL0010001-00
Alabama,2023,AL,82285.0,82285AL0020001-00
Alabama,2023,AL,82285.0,82285AL0010006-01
Alabama,2023,AL,82285.0,82285AL0010004-01
Alabama,2024,AL,12538.0,12538AL0020003-00
Alabama,2024,AL,12538.0,12538AL0020003-01
Alabama,2024,AL,12538.0,12538AL0020007-00
Alabama,2024,AL,12538.0,12538AL0020007-01
Alabama,2024,AL,12538.0,12538AL0020008-00
Alabama,2024,AL,12538.0,12538AL0020008-01
Alabama,2024,AL,12538.0,12538AL0020006-00
Alabama,2024,AL,12538.0,12538AL0020006-01
Alabama,2024,AL,17540.0,17540AL0130003-00
Alabama,2024,AL,17540.0,17540AL0130003-01
Alabama,2024,AL,17540.0,17540AL0140003-00
Alabama,2024,AL,17540.0,17540AL0140003-01
Alabama,2024,AL,17540.0,17540AL0150003-00
Alabama,2024,AL,17540.0,17540AL0150003-01
Alabama,2024,AL,18239.0,18239AL0010001-00
Alabama,2024,AL,18239.0,18239AL0010001-01
Alabama,2024,AL,18239.0,18239AL0010002-00
Alabama,2024,AL,18239.0,18239AL0010002-01
Alabama,2024,AL,18239.0,18239AL0010003-00
Alabama,2024,AL,18239.0,18239AL0010003-01
Alabama,2024,AL,18239.0,18239AL0010004-00
Alabama,2024,AL,18239.0,18239AL0010004-01
Alabama,2024,AL,28725.0,28725AL0100003-00
Alabama,2024,AL,28725.0,28725AL0100004-00
Alabama,2024,AL,28725.0,28725AL0110001-01
Alabama,2024,AL,28725.0,28725AL0110002-01
Alabama,2024,AL,28725.0,28725AL0120001-00
Alabama,2024,AL,28725.0,28725AL0120002-00
Alabama,2024,AL,28725.0,28725AL0130001-01
Alabama,2024,AL,28725.0,28725AL0130002-01
Alabama,2024,AL,28725.0,28725AL0150001-01
Alabama,2024,AL,28725.0,28725AL0140001-00
Alabama,2024,AL,44580.0,44580AL0380001-00
Alabama,2024,AL,44580.0,44580AL0380001-01
Alabama,2024,AL,44580.0,44580AL0380003-00
Alabama,2024,AL,44580.0,44580AL0380003-01
Alabama,2024,AL,44580.0,44580AL0380004-00
Alabama,2024,AL,44580.0,44580AL0380004-01
Alabama,2024,AL,46363.0,46363AL0010001-01
Alabama,2024,AL,46363.0,46363AL0010002-01
Alabama,2024,AL,46363.0,46363AL0010003-01
Alabama,2024,AL,46363.0,46363AL0010004-01
Alabama,2024,AL,46944.0,46944AL0370001-00
Alabama,2024,AL,46944.0,46944AL0370001-01
Alabama,2024,AL,46944.0,46944AL0370001-02
Alabama,2024,AL,46944.0,46944AL0370001-03
Alabama,2024,AL,46944.0,46944AL0280001-00
Alabama,2024,AL,46944.0,46944AL0280001-01
Alabama,2024,AL,46944.0,46944AL0500001-01
Alabama,2024,AL,46944.0,46944AL0340001-00
Alabama,2024,AL,46944.0,46944AL0340001-01
Alabama,2024,AL,46944.0,46944AL0670001-00
Alabama,2024,AL,46944.0,46944AL0670001-01
Alabama,2024,AL,46944.0,46944AL0410001-00
Alabama,2024,AL,46944.0,46944AL0410001-01
Alabama,2024,AL,46944.0,46944AL0410001-02
Alabama,2024,AL,46944.0,46944AL0410001-03
Alabama,2024,AL,46944.0,46944AL0410001-04
Alabama,2024,AL,46944.0,46944AL0410001-05
Alabama,2024,AL,46944.0,46944AL0410001-06
Alabama,2024,AL,46944.0,46944AL0680001-00
Alabama,2024,AL,46944.0,46944AL0680001-01
Alabama,2024,AL,46944.0,46944AL0380001-00
Alabama,2024,AL,46944.0,46944AL0380001-01
Alabama,2024,AL,46944.0,46944AL0560001-00
Alabama,2024,AL,46944.0,46944AL0560001-01
Alabama,2024,AL,46944.0,46944AL0560001-02
Alabama,2024,AL,46944.0,46944AL0560001-03
Alabama,2024,AL,46944.0,46944AL0460001-00
Alabama,2024,AL,46944.0,46944AL0460001-01
Alabama,2024,AL,46944.0,46944AL0460001-02
Alabama,2024,AL,46944.0,46944AL0460001-03
Alabama,2024,AL,46944.0,46944AL0430001-00
Alabama,2024,AL,46944.0,46944AL0430001-01
Alabama,2024,AL,46944.0,46944AL0470001-00
Alabama,2024,AL,46944.0,46944AL0470001-01
Alabama,2024,AL,46944.0,46944AL0760001-00
Alabama,2024,AL,46944.0,46944AL0760001-01
Alabama,2024,AL,46944.0,46944AL0650001-00
Alabama,2024,AL,46944.0,46944AL0650001-01
Alabama,2024,AL,46944.0,46944AL0650001-02
Alabama,2024,AL,46944.0,46944AL0650001-03
Alabama,2024,AL,46944.0,46944AL0660001-00
Alabama,2024,AL,46944.0,46944AL0660001-01
Alabama,2024,AL,46944.0,46944AL0660001-02
Alabama,2024,AL,46944.0,46944AL0660001-03
Alabama,2024,AL,46944.0,46944AL0660001-04
Alabama,2024,AL,46944.0,46944AL0660001-05
Alabama,2024,AL,46944.0,46944AL0660001-06
Alabama,2024,AL,46944.0,46944AL0710001-00
Alabama,2024,AL,46944.0,46944AL0710001-01
Alabama,2024,AL,46944.0,46944AL0710001-02
Alabama,2024,AL,46944.0,46944AL0710001-03
Alabama,2024,AL,46944.0,46944AL0710001-04
Alabama,2024,AL,46944.0,46944AL0710001-05
Alabama,2024,AL,46944.0,46944AL0710001-06
Alabama,2024,AL,46944.0,46944AL0720001-00
Alabama,2024,AL,46944.0,46944AL0720001-01
Alabama,2024,AL,46944.0,46944AL0720001-02
Alabama,2024,AL,46944.0,46944AL0720001-03
Alabama,2024,AL,46944.0,46944AL0730001-00
Alabama,2024,AL,46944.0,46944AL0730001-01
Alabama,2024,AL,46944.0,46944AL0730001-02
Alabama,2024,AL,46944.0,46944AL0730001-03
Alabama,2024,AL,46944.0,46944AL0730001-04
Alabama,2024,AL,46944.0,46944AL0730001-05
Alabama,2024,AL,46944.0,46944AL0730001-06
