Location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium,Number of Individuals Who Selected a Marketplace Plan,Expansion Group Enrollment,Expansion Group - Newly Eligible Enrollment,Expansion Group - Not Newly Eligible Enrollment,Total Medicaid Enrollment,Expansion Enrollment as a Percent of Total Enrollment,Parents (in a family of three),Other Adults (for an individual),Total Medicare Enrollment,Traditional Medicare Enrollment,Traditional Medicare Enrollment Percent of Total Enrollment,Medicare Advantage and Other Health Plan Enrollment,Medicare Advantage and Other Health Plan Enrollment Percent of Total Enrollment
Ohio,$400,$513,$513,$548,583443.0,705005.0,704821.0,184.0,3002481.0,0.2348074809,1.38,1.38,2535073.0,1120980.0,0.442,1414093.0,0.558
Oklahoma,$462,$602,$604,$617,307989.0,239479.0,239479.0,0.0,979807.0,0.2444144612,1.38,1.38,805957.0,480568.0,0.596,325389.0,0.404
Oregon,$453,$535,$543,$603,139688.0,689347.0,573373.0,115974.0,1303507.0,0.5288402747,1.38,1.38,945351.0,428454.0,0.453,516897.0,0.547
Pennsylvania,$364,$555,$572,$478,496661.0,822177.0,773433.0,48744.0,2957012.0,0.2780431733,1.38,1.38,2949865.0,1388452.0,0.471,1561414.0,0.529
Rhode Island,$367,$488,$506,$502,42117.0,76455.0,76455.0,0.0,304608.0,0.2509947211,1.38,1.38,243173.0,99395.0,0.409,143778.0,0.591
South Carolina,$410,$564,$564,$594,631948.0,0.0,0.0,0.0,1220541.0,0.0,0.67,0.0,1230384.0,672118.0,0.546,558266.0,0.454
South Dakota,$484,$642,$655,$665,54721.0,29843.0,29843.0,0.0,132754.0,0.2247992528,1.38,1.38,198271.0,126932.0,0.64,71339.0,0.36
Tennessee,$508,$707,$711,$698,642867.0,0.0,0.0,0.0,1504581.0,0.0,1.05,0.0,1482703.0,705731.0,0.476,776972.0,0.524
Texas,$426,$651,$661,$570,3966226.0,0.0,0.0,0.0,4374287.0,0.0,0.15,0.0,4770640.0,2220519.0,0.465,2550121.0,0.535
Utah,$510,$614,$640,$701,421890.0,82570.0,81396.0,1174.0,335872.0,0.2458377001,1.38,1.38,465601.0,224199.0,0.482,241401.0,0.518
Vermont,$824,$1289,$1299,$1135,32862.0,61252.0,0.0,61252.0,163398.0,0.3748638294,1.38,1.38,165155.0,111527.0,0.675,53629.0,0.325
Virginia,$351,$455,$455,$441,388856.0,629482.0,629482.0,0.0,1699456.0,0.3704020581,1.38,1.38,1687718.0,1044130.0,0.619,643588.0,0.381
Washington,$364,$590,$612,$466,308227.0,597699.0,573302.0,24397.0,1806696.0,0.3308243335,1.38,1.38,1523193.0,781361.0,0.513,741833.0,0.487
West Virginia,$775,$1036,$1073,$961,67113.0,170182.0,170182.0,0.0,510520.0,0.3333503095,1.38,1.38,453115.0,209900.0,0.463,243215.0,0.537
Wisconsin,$443,$602,$611,$640,313579.0,0.0,0.0,0.0,1209196.0,0.0,1.0,1.0,1315539.0,566468.0,0.431,749070.0,0.569
Wyoming,$785,$1089,$1090,$1000,46643.0,0.0,0.0,0.0,66428.0,0.0,0.44,0.0,127403.0,104521.0,0.82,22882.0,0.18
