State Abbreviation,State Name,Reporting Period,Original or Updated,Beneficiaries with a Renewal Initiated,Beneficiaries with a Renewal Initiated - footnotes,Beneficiaries with a Renewal Due,Beneficiaries with a Renewal Due - footnotes,Beneficiaries Whose Coverage Was Renewed (Total),Beneficiaries Whose Coverage Was Renewed (Total) - footnotes,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis - footnotes,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form - footnotes,Beneficiaries Disenrolled at Renewal (Total),Beneficiaries Disenrolled at Renewal (Total) - footnotes,Beneficiaries Determined Ineligible at Renewal,Beneficiaries Determined Ineligible at Renewal - footnotes,Beneficiaries Disenrolled for Procedural Reasons at Renewal,Beneficiaries Disenrolled for Procedural Reasons at Renewal - footnotes,Beneficiaries with a Pending Renewal,Beneficiaries with a Pending Renewal - footnotes
FL,Florida,202311,U,,,346495,,216837,,107321,,109516,,129621,,40060,,89561,,37,
FL,Florida,202312,O,300952,,331486,,192331,,89673,,102658,,120242,,33539,,86703,,18913,
FL,Florida,202312,U,,,331486,,201860,,89673,,112187,,129539,,36483,,93056,,87,
FL,Florida,202401,O,307844,,298762,,213303,,77463,,135840,,82986,,37281,,45705,,2473,
FL,Florida,202401,U,,,298762,,214478,,77463,,137015,,83919,,38001,,45918,,365,
FL,Florida,202402,O,440260,,332140,,213964,,44325,,169639,,104522,,45121,,59401,,13654,
FL,Florida,202402,U,,,332369,,221775,,44325,,177450,,109911,,49069,,60842,,683,
FL,Florida,202403,O,144981,,632996,,337921,,72737,,265184,,268170,,86625,,181545,,26905,
FL,Florida,202403,U,,,632996,,347746,,72737,,275009,,285111,,93544,,191567,,139,
FL,Florida,202404,O,184969,,151211,,85676,,51784,,33892,,44117,,16868,,27249,,21418,
FL,Florida,202404,U,,,151176,,99923,,51784,,48139,,51201,,21661,,29540,,52,
FL,Florida,202405,O,167862,,184829,,116184,,65931,,50253,,44535,,18004,,26531,,24110,
FL,Florida,202405,U,,,184829,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,132425,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,65931,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,66494,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,52371,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,22995,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,29376,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,33,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202406,O,191131,,167862,,102696,,59630,,43066,,44694,,18441,,26253,,20472,
FL,Florida,202406,U,,,167862,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,117763,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,59630,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,58133,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,50072,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,21566,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,28506,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,27,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202407,O,225973,,191131,,115159,,71891,,43268,,55564,,19487,,36077,,20408,
FL,Florida,202407,U,,,191131,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,129575,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,71891,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,57684,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,61518,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,22729,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,38789,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,38,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202408,O,193769,,225974,,128587,,40849,,87738,,73384,,24820,,48564,,24003,
FL,Florida,202408,U,,,225974,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,145195,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,40849,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,104346,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,80717,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,28993,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,51724,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,62,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202409,O,236491,,193768,,120945,,74934,,46011,,57021,,20429,,36592,,15802,
FL,Florida,202409,U,,,193768,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,131970,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,74934,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,57036,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,61649,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,23029,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,38620,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,149,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202410,O,174377,,236491,,196732,,126852,,69880,,23262,,22122,,1140,,16497,
FL,Florida,202410,U,,,236491,,208481,,126852,,81629,,27888,,25319,,2569,,122,
FL,Florida,202411,O,144620,,174377,,89376,,61942,,27434,,67179,,15927,,51252,,17822,
FL,Florida,202411,U,,,174377,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,101748,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,61942,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,39806,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,72374,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,18659,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,53715,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,255,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202412,O,163508,,144620,,82599,,34043,,48556,,42960,,14245,,28715,,19061,
FL,Florida,202412,U,,,144620,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,96170,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,34043,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,62127,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,48132,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,17172,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,30960,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,318,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202501,O,186497,,163507,,99970,,44806,,55164,,43577,,16182,,27395,,19960,
FL,Florida,202501,U,,,163507,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,114482,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,44806,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,69676,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,48879,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,18944,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,29935,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,146,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202502,O,168462,,229113,,170991,,49350,,121641,,41904,,19184,,22720,,16218,
FL,Florida,202502,U,,,229113,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,182273,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,49350,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,132923,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,46519,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,21495,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,25024,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,321,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202503,O,185697,,168462,,115240,,34599,,80641,,40606,,20931,,19675,,12616,
FL,Florida,202503,U,,,168462,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,124054,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,34599,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,89455,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,44227,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,22757,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,21470,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,181,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
FL,Florida,202504,O,167237,,185697,,131211,,39516,,91695,,42532,,40700,,1832,,11954,
FL,Florida,202504,U,,,185697,,139257,,39516,,99741,,45924,,42473,,3451,,516,
FL,Florida,202505,O,168019,,167237,,117737,,38487,,79250,,37990,,36541,,1449,,11510,
FL,Florida,202505,U,,,167237,,125560,,38487,,87073,,41534,,38318,,3216,,143,
FL,Florida,202506,O,188605,,168019,,118612,,39947,,78665,,36378,,17272,,19106,,13029,
FL,Florida,202506,U,,,168019,,127873,,39947,,87926,,40100,,19176,,20924,,46,
FL,Florida,202507,O,199075,,188605,,125760,,54163,,71597,,38867,,16860,,22007,,23978,
FL,Florida,202507,U,,,188605,,143157,,54163,,88994,,45366,,20354,,25012,,82,
FL,Florida,202508,O,195239,,199175,,123668,,48446,,75222,,40313,,18948,,21365,,35194,
FL,Florida,202509,O,192991,,195239,,127647,,52442,,75205,,41745,,19529,,22216,,25847,
FL,Florida,202510,O,155346,,192991,,135210,,45700,,89510,,41346,,22015,,19331,,16435,
FL,Florida,202511,O,165970,,155346,,103525,,36719,,66806,,33524,,14029,,19495,,18297,
GA,Georgia,202303,O,,,,,,,,,,,,,,,,,,
GA,Georgia,202303,U,,,,,,,,,,,,,,,,,,
GA,Georgia,202304,O,75461,Data Reflect Renewals and Other Eligibility and Enrollment Actions,,,,,,,,,,,,,,,,
GA,Georgia,202304,U,,,,,,,,,,,,,,,,,,
GA,Georgia,202305,O,222105,,12526,,6397,,6092,,305,,1659,,78,,1581,,4470,
GA,Georgia,202305,U,,,12526,,8122,,6212,,1910,,1753,,170,,1583,,2651,
GA,Georgia,202306,O,208264,,219359,,64423,,50607,,13816,,95578,,6410,,89168,,59358,
GA,Georgia,202306,U,,,219359,,90441,,52851,,37590,,103961,,13868,,90093,,24957,
GA,Georgia,202307,O,195035,,200943,,64964,,45813,,19151,,76125,,7630,,68495,,59854,
GA,Georgia,202307,U,,,200943,,95994,,47847,,48147,,92174,,22916,,69258,,12775,
GA,Georgia,202308,O,184458,,190016,,66278,,50435,,15843,,77838,,20642,,57196,,45900,
GA,Georgia,202308,U,,,190016,,89698,,52392,,37306,,94448,,35703,,58745,,5870,
GA,Georgia,202309,O,141073,,171387,,58133,,43159,,14974,,73231,,11509,,61722,,40023,
GA,Georgia,202309,U,,,171387,,76172,,51950,,24222,,85907,,23497,,62410,,9308,
GA,Georgia,202310,O,155902,,138160,,49664,,31273,,18391,,65295,,9799,,55496,,23201,
GA,Georgia,202310,U,,,138160,,58946,,31787,,27159,,74642,,17111,,57531,,4572,
GA,Georgia,202311,O,138672,,159004,,87708,,64659,,23049,,57516,,10437,,47079,,13780,
GA,Georgia,202311,U,,,159004,,95608,,64812,,30796,,60695,,12303,,48392,,2701,
GA,Georgia,202312,O,128071,,139906,,64662,,45388,,19274,,56305,,6887,,49418,,18939,
GA,Georgia,202312,U,,,139906,,74664,,47299,,27365,,60863,,10258,,50605,,4379,
GA,Georgia,202401,O,109508,,119437,,55033,,39008,,16025,,46897,,8942,,37955,,17507,
GA,Georgia,202401,U,,,119437,,63612,,41717,,21895,,51657,,11914,,39743,,4168,
GA,Georgia,202402,O,97083,,112379,,48364,,30587,,17777,,46550,,10348,,36202,,17465,
GA,Georgia,202402,U,,,112379,,57461,,32228,,25233,,51575,,14772,,36803,,3343,
GA,Georgia,202403,O,100796,,104793,,45457,,28008,,17449,,42779,,7198,,35581,,16557,
GA,Georgia,202403,U,,,104793,,55196,,29621,,25575,,48449,,11959,,36490,,1148,
GA,Georgia,202404,O,90650,,333769,Data Reflect Renewals and Other Eligibility and Enrollment Actions,241667,Data Reflect Renewals and Other Eligibility and Enrollment Actions,205804,Data Reflect Renewals and Other Eligibility and Enrollment Actions,35863,,86642,,43439,,43203,,5460,
GA,Georgia,202404,U,,,333769,,244071,,206429,,37642,,88748,,45241,,43507,,950,
GA,Georgia,202405,O,124649,,215424,Data Reflect Renewals and Other Eligibility and Enrollment Actions,159913,Data Reflect Renewals and Other Eligibility and Enrollment Actions,131723,Data Reflect Renewals and Other Eligibility and Enrollment Actions,28190,,52143,,36584,,15559,,3368,
GA,Georgia,202405,U,,,215424,,162074,,132132,,29942,,52767,,37003,,15764,,583,
GA,Georgia,202406,O,119487,,220737,Data Reflect Renewals and Other Eligibility and Enrollment Actions,133134,Data Reflect Renewals and Other Eligibility and Enrollment Actions,106510,Data Reflect Renewals and Other Eligibility and Enrollment Actions,26624,,78217,,32753,,45464,,9386,
GA,Georgia,202406,U,,,220737,,138841,,107458,,31383,,80353,,34137,,46216,,1543,
GA,Georgia,202407,O,108044,,225631,Data Reflect Renewals and Other Eligibility and Enrollment Actions,131786,Data Reflect Renewals and Other Eligibility and Enrollment Actions,95849,Data Reflect Renewals and Other Eligibility and Enrollment Actions,35937,,77920,,36580,,41340,,15925,
GA,Georgia,202407,U,,,225631,,140156,,97007,,43149,,81772,,39953,,41819,,3703,
GA,Georgia,202408,O,107123,,279409,Data Reflect Renewals and Other Eligibility and Enrollment Actions,188085,Data Reflect Renewals and Other Eligibility and Enrollment Actions,126378,Data Reflect Renewals and Other Eligibility and Enrollment Actions,61707,,80756,,35676,,45080,,10568,
GA,Georgia,202408,U,,,279409,,192584,,126783,,65801,,83130,,37570,,45560,,3695,
GA,Georgia,202409,O,120854,,232501,Data Reflect Renewals and Other Eligibility and Enrollment Actions,138651,Data Reflect Renewals and Other Eligibility and Enrollment Actions,100805,Data Reflect Renewals and Other Eligibility and Enrollment Actions,37846,,83245,,50468,,32777,,10605,
GA,Georgia,202409,U,,,232501,,143170,,101807,,41363,,84799,,51681,,33118,,4532,
GA,Georgia,202410,O,128472,,233288,Data Reflect Renewals and Other Eligibility and Enrollment Actions,153776,Data Reflect Renewals and Other Eligibility and Enrollment Actions,117770,Data Reflect Renewals and Other Eligibility and Enrollment Actions,36006,,65906,,37629,,28277,,13606,
GA,Georgia,202410,U,,,233288,,157005,,118706,,38299,,67977,,39228,,28749,,8306,
GA,Georgia,202411,O,124189,,227468,Data Reflect Renewals and Other Eligibility and Enrollment Actions,131742,Data Reflect Renewals and Other Eligibility and Enrollment Actions,110415,Data Reflect Renewals and Other Eligibility and Enrollment Actions,21327,,77938,,39662,,38276,,17788,
GA,Georgia,202411,U,,,227468,,138571,,113840,,24731,,83849,,42452,,41397,,5048,
GA,Georgia,202412,O,134968,,224952,Data Reflect Renewals and Other Eligibility and Enrollment Actions,139429,Data Reflect Renewals and Other Eligibility and Enrollment Actions,114054,Data Reflect Renewals and Other Eligibility and Enrollment Actions,25375,,75019,,40093,,34926,,10504,
GA,Georgia,202412,U,,,224952,,142946,,114867,,28079,,76719,,41240,,35479,,5287,
GA,Georgia,202501,O,127049,,209946,Data Reflect Renewals and Other Eligibility and Enrollment Actions,133078,Data Reflect Renewals and Other Eligibility and Enrollment Actions,108515,Data Reflect Renewals and Other Eligibility and Enrollment Actions,24563,,65460,,38079,,27381,,11408,
GA,Georgia,202501,U,,,209946,,137438,,109134,,28304,,67863,,38893,,28970,,4645,
GA,Georgia,202502,O,147245,,200774,Data Reflect Renewals and Other Eligibility and Enrollment Actions,131924,Data Reflect Renewals and Other Eligibility and Enrollment Actions,107564,Data Reflect Renewals and Other Eligibility and Enrollment Actions,24360,,56375,,23379,,32996,,12475,
GA,Georgia,202502,U,,,200774,,136666,,108442,,28224,,58902,,24204,,34698,,5206,
GA,Georgia,202503,O,158447,,216344,Data Reflect Renewals and Other Eligibility and Enrollment Actions,136303,Data Reflect Renewals and Other Eligibility and Enrollment Actions,109270,Data Reflect Renewals and Other Eligibility and Enrollment Actions,27033,,59669,,26098,,33571,,20372,
GA,Georgia,202503,U,,,216344,,145058,,110175,,34883,,63706,,28095,,35611,,7580,
GA,Georgia,202504,O,104445,,206697,Data Reflect Renewals and Other Eligibility and Enrollment Actions,131655,Data Reflect Renewals and Other Eligibility and Enrollment Actions,100297,Data Reflect Renewals and Other Eligibility and Enrollment Actions,31358,,54375,,21221,,33154,,20667,
GA,Georgia,202504,U,,,206697,,139539,,101236,,38303,,58704,,23233,,35471,,8454,
GA,Georgia,202505,O,121206,,202397,Data Reflect Renewals and Other Eligibility and Enrollment Actions,138992,Data Reflect Renewals and Other Eligibility and Enrollment Actions,111928,Data Reflect Renewals and Other Eligibility and Enrollment Actions,27064,,49482,,20627,,28855,,13923,
GA,Georgia,202505,U,,,202397,,144273,,112900,,31373,,52330,,21961,,30369,,5794,
GA,Georgia,202506,O,112516,,203608,Data Reflect Renewals and Other Eligibility and Enrollment Actions,139690,Data Reflect Renewals and Other Eligibility and Enrollment Actions,107696,Data Reflect Renewals and Other Eligibility and Enrollment Actions,31994,,50100,,27212,,22888,,13818,
GA,Georgia,202506,U,,,203608,,143028,,108184,,34844,,52551,,28111,,24440,,8029,
GA,Georgia,202507,O,101788,,187204,Data Reflect Renewals and Other Eligibility and Enrollment Actions,133186,Data Reflect Renewals and Other Eligibility and Enrollment Actions,106114,Data Reflect Renewals and Other Eligibility and Enrollment Actions,27072,,40474,,20914,,19560,,13544,
GA,Georgia,202507,U,,,187204,,137508,,106318,,31190,,42886,,21935,,20951,,6810,
GA,Georgia,202508,O,108473,,210782,Data Reflect Renewals and Other Eligibility and Enrollment Actions,142573,Data Reflect Renewals and Other Eligibility and Enrollment Actions,112634,Data Reflect Renewals and Other Eligibility and Enrollment Actions,29939,,59999,,28984,,31015,,8210,
GA,Georgia,202509,O,103020,,210677,Data Reflect Renewals and Other Eligibility and Enrollment Actions,143150,Data Reflect Renewals and Other Eligibility and Enrollment Actions,114733,Data Reflect Renewals and Other Eligibility and Enrollment Actions,28417,,57393,,29762,,27631,,10134,
GA,Georgia,202510,O,94249,,205312,Data Reflect Renewals and Other Eligibility and Enrollment Actions,137938,Data Reflect Renewals and Other Eligibility and Enrollment Actions,110062,Data Reflect Renewals and Other Eligibility and Enrollment Actions,27876,,54940,,28244,,26696,,12434,
GA,Georgia,202511,O,114026,,184750,Data Reflect Renewals and Other Eligibility and Enrollment Actions,127182,Data Reflect Renewals and Other Eligibility and Enrollment Actions,103114,Data Reflect Renewals and Other Eligibility and Enrollment Actions,24068,,48658,,23861,,24797,,8910,
HI,Hawaii,202303,O,,,,,,,,,,,,,,,,,,
HI,Hawaii,202303,U,,,,,,,,,,,,,,,,,,
HI,Hawaii,202304,O,41745,,,,,,,,,,,,,,,,,
HI,Hawaii,202304,U,,,,,,,,,,,,,,,,,,
HI,Hawaii,202305,O,40192,,40725,,20680,,16221,,4459,,12705,,1768,,10937,,7340,
HI,Hawaii,202305,U,,,39822,,23762,,16242,,7520,,12845,,1895,,10950,,3215,
HI,Hawaii,202306,O,38098,,39818,,21649,,16147,,5502,,10612,,1341,,9271,,7557,
HI,Hawaii,202306,U,,,38920,,25079,,16393,,8686,,10760,,1485,,9275,,3081,
HI,Hawaii,202307,O,38060,,37833,,19704,,16130,,3574,,8638,,1173,,7465,,9491,
HI,Hawaii,202307,U,,,35392,,23290,,16137,,7153,,8833,,1322,,7511,,3269,
HI,Hawaii,202308,O,44430,,37788,,25625,,21988,,3637,,6499,,967,,5532,,5664,
HI,Hawaii,202308,U,,,37226,,28139,,21989,,6150,,6611,,1058,,5553,,2476,
HI,Hawaii,202309,O,25486,,28960,,22399,,17151,,5248,,182,State Held Some or All Procedural and/or Other Terminations for the Report Month,182,,0,State Held Some or All Procedural and/or Other Terminations for the Report Month,6379,
HI,Hawaii,202309,U,,,28861,,24788,,17154,,7634,,287,,287,,0,,3786,
HI,Hawaii,202310,O,17722,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,19667,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,19646,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,19646,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,21,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,21,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis
HI,Hawaii,202310,U,,,19667,,19646,,19646,,0,,21,,21,,0,,0,
HI,Hawaii,202311,O,13281,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,17513,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,17501,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,17501,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,12,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,12,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis
HI,Hawaii,202311,U,,,17513,,17501,,17501,,0,,12,,12,,0,,0,
HI,Hawaii,202312,O,14515,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,13047,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,13040,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,13040,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,7,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,7,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis,0,State Only Processed Renewals in the Report Month That Could Be Completed on an Ex Parte Basis
HI,Hawaii,202312,U,,,13047,,13040,,13040,,0,,7,,7,,0,,0,
HI,Hawaii,202401,O,18541,,14401,,5121,,1385,,3736,,6910,,576,,6334,,2370,
HI,Hawaii,202401,U,,,14401,,6410,,1403,,5007,,7062,,705,,6357,,929,
HI,Hawaii,202402,O,23991,,18285,,10587,,3344,,7243,,5852,,1302,,4550,,1846,
HI,Hawaii,202402,U,,,18285,,11419,,3369,,8050,,6278,,1600,,4678,,588,
HI,Hawaii,202403,O,40779,,22982,,13721,,5205,,8516,,7351,,1964,,5387,,1910,
HI,Hawaii,202403,U,,,22982,,14455,,5245,,9210,,7758,,2226,,5532,,769,
HI,Hawaii,202404,O,82393,,39975,,27604,,18089,,9515,,10814,,2902,,7912,,1557,
HI,Hawaii,202404,U,,,39975,,28286,,18109,,10177,,11228,,3192,,8036,,461,
HI,Hawaii,202405,O,70096,,78653,,62850,,43335,,19515,,13727,,3534,,10193,,2076,
HI,Hawaii,202405,U,,,78653,,63731,,43358,,20373,,14269,,3841,,10428,,653,
HI,Hawaii,202406,O,74808,,69297,,57460,,45498,,11962,,10429,,2483,,7946,,1408,
HI,Hawaii,202406,U,,,69297,,58051,,45514,,12537,,10831,,2731,,8100,,415,
HI,Hawaii,202407,O,34655,,74260,,61315,,46062,,15253,,11602,,2785,,8817,,1343,
HI,Hawaii,202407,U,,,74260,,61914,,46065,,15849,,11988,,2960,,9028,,358,
HI,Hawaii,202408,O,35739,,32850,,30444,,24764,,5680,,1938,,538,,1400,,468,
HI,Hawaii,202408,U,,,32850,,30618,,24772,,5846,,2068,,600,,1468,,164,
HI,Hawaii,202409,O,22957,,35272,,31902,,22851,,9051,,2834,,911,,1923,,536,
HI,Hawaii,202409,U,,,35272,,32152,,22857,,9295,,2997,,1004,,1993,,123,
HI,Hawaii,202410,O,20825,,22257,,20794,,19306,,1488,,1338,,451,,887,,125,
HI,Hawaii,202410,U,,,22257,,20833,,19309,,1524,,1386,,471,,915,,38,
HI,Hawaii,202411,O,377,,19813,,18696,,17603,,1093,,1001,,272,,729,,116,
HI,Hawaii,202411,U,,,19813,,18734,,17604,,1130,,1020,,284,,736,,59,
HI,Hawaii,202412,O,28009,,10,State Modified its Scheduled Renewal Distribution Plan Resulting in a Low Number of Renewals Due in the Reporting Period,10,,10,,0,,0,,0,,0,,0,
HI,Hawaii,202412,U,,,10,Please Refer to the Original Data Published for This Reporting Period,10,Please Refer to the Original Data Published for This Reporting Period,10,Please Refer to the Original Data Published for This Reporting Period,0,Please Refer to the Original Data Published for This Reporting Period,0,Please Refer to the Original Data Published for This Reporting Period,0,Please Refer to the Original Data Published for This Reporting Period,0,Please Refer to the Original Data Published for This Reporting Period,0,Please Refer to the Original Data Published for This Reporting Period
HI,Hawaii,202501,O,17359,,26879,,25362,,22513,,2849,,1343,,247,,1096,,174,
HI,Hawaii,202501,U,,,26879,,25435,,22516,,2919,,1380,,268,,1112,,64,
HI,Hawaii,202502,O,24182,,16614,,15818,,13796,,2022,,693,,264,,429,,103,
HI,Hawaii,202502,U,,,16614,,15842,,13796,,2046,,711,,268,,443,,61,
HI,Hawaii,202503,O,27510,,23780,,20785,,16554,,4231,,2624,,668,,1956,,371,
HI,Hawaii,202503,U,,,23780,,20903,,16572,,4331,,2680,,691,,1989,,197,
HI,Hawaii,202504,O,41637,,27038,,24394,,21401,,2993,,2473,,565,,1908,,171,
