State Abbreviation,State Name,Reporting Period,Original or Updated,Beneficiaries with a Renewal Initiated,Beneficiaries with a Renewal Initiated - footnotes,Beneficiaries with a Renewal Due,Beneficiaries with a Renewal Due - footnotes,Beneficiaries Whose Coverage Was Renewed (Total),Beneficiaries Whose Coverage Was Renewed (Total) - footnotes,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis - footnotes,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form - footnotes,Beneficiaries Disenrolled at Renewal (Total),Beneficiaries Disenrolled at Renewal (Total) - footnotes,Beneficiaries Determined Ineligible at Renewal,Beneficiaries Determined Ineligible at Renewal - footnotes,Beneficiaries Disenrolled for Procedural Reasons at Renewal,Beneficiaries Disenrolled for Procedural Reasons at Renewal - footnotes,Beneficiaries with a Pending Renewal,Beneficiaries with a Pending Renewal - footnotes
AK,Alaska,202408,U,,,32391,,15247,,6879,,8368,,5694,,2730,,2964,,11450,
AK,Alaska,202409,O,24590,,32734,,9726,,7111,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2615,,1734,State Held Some or All Procedural and/or Other Terminations for the Report Month,1440,,294,State Held Some or All Procedural and/or Other Terminations for the Report Month,21274,
AK,Alaska,202409,U,,,21830,,10602,,7111,,3491,,1993,,1642,,351,,9235,
AK,Alaska,202410,O,24219,,24219,,10379,,7504,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2875,,2070,State Held Some or All Procedural and/or Other Terminations for the Report Month,1728,,342,State Held Some or All Procedural and/or Other Terminations for the Report Month,11770,
AK,Alaska,202410,U,,,24219,,14454,,7504,,6950,,2390,,1947,,443,,7375,
AK,Alaska,202411,O,29769,,30093,,9543,,6413,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3130,,3019,State Held Some or All Procedural and/or Other Terminations for the Report Month,2292,,727,State Held Some or All Procedural and/or Other Terminations for the Report Month,17531,
AK,Alaska,202411,U,,,29911,,11315,,6413,,4902,,3606,,2655,,951,,14990,
AK,Alaska,202412,O,31848,,29939,,11099,,7936,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3163,,2015,State Held Some or All Procedural and/or Other Terminations for the Report Month,1729,,286,State Held Some or All Procedural and/or Other Terminations for the Report Month,16825,
AK,Alaska,202412,U,,,29940,,12333,,7936,,4397,,2558,,2084,,474,,15049,
AK,Alaska,202501,O,28778,,31624,,9872,,7285,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2587,,2839,State Held Some or All Procedural and/or Other Terminations for the Report Month,1702,,1137,State Held Some or All Procedural and/or Other Terminations for the Report Month,18913,
AK,Alaska,202501,U,,,31624,,11259,,7285,,3974,,9040,,3186,,5854,,11325,
AK,Alaska,202502,O,28895,,26995,,7501,,4067,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3434,,3362,State Held Some or All Procedural and/or Other Terminations for the Report Month,1734,,1628,State Held Some or All Procedural and/or Other Terminations for the Report Month,16132,
AK,Alaska,202502,U,,,26854,,9008,,4067,,4941,,7910,,3032,,4878,,9936,
AK,Alaska,202503,O,23175,,27527,,10624,,7573,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3051,,2442,State Held Some or All Procedural and/or Other Terminations for the Report Month,1832,,610,State Held Some or All Procedural and/or Other Terminations for the Report Month,14461,
AK,Alaska,202503,U,,,27389,,12518,,7573,,4945,,7302,,3295,,4007,,7569,
AK,Alaska,202504,O,16454,,21097,,6608,,4254,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2354,,1899,State Held Some or All Procedural and/or Other Terminations for the Report Month,1567,,332,State Held Some or All Procedural and/or Other Terminations for the Report Month,12590,
AK,Alaska,202504,U,,,21081,,7813,,4254,,3559,,5500,,2597,,2903,,7768,
AK,Alaska,202505,O,16527,,17113,,8644,,6353,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2291,,2537,State Held Some or All Procedural and/or Other Terminations for the Report Month,1725,,812,State Held Some or All Procedural and/or Other Terminations for the Report Month,5932,
AK,Alaska,202505,U,,,17113,,9511,,6353,,3158,,4447,,2115,,2332,,3155,
AK,Alaska,202506,O,13404,,17572,,8572,,6246,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,2326,,2694,State Held Some or All Procedural and/or Other Terminations for the Report Month,1846,,848,State Held Some or All Procedural and/or Other Terminations for the Report Month,6306,
AK,Alaska,202506,U,,,16112,,9491,,6246,,3245,,4235,,2310,,1925,,2386,
AK,Alaska,202507,O,14334,,16094,,9014,,5742,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3272,,2408,State Held Some or All Procedural and/or Other Terminations for the Report Month,1697,,711,State Held Some or All Procedural and/or Other Terminations for the Report Month,4672,
AK,Alaska,202507,U,,,16030,,9912,,5742,,4170,,3515,,2074,,1441,,2603,
AK,Alaska,202508,O,13589,,18027,,9528,,6339,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3189,,4130,State Held Some or All Procedural and/or Other Terminations for the Report Month,1712,,2418,State Held Some or All Procedural and/or Other Terminations for the Report Month,4369,
AK,Alaska,202509,O,12937,,16032,,8444,,5397,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3047,,2484,State Held Some or All Procedural and/or Other Terminations for the Report Month,1583,,901,State Held Some or All Procedural and/or Other Terminations for the Report Month,5104,
AK,Alaska,202510,O,15827,,17093,,8004,,4587,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3417,,3783,State Held Some or All Procedural and/or Other Terminations for the Report Month,1777,,2006,State Held Some or All Procedural and/or Other Terminations for the Report Month,5306,
AK,Alaska,202511,O,15002,,18607,,9791,,6026,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,3765,,3346,State Held Some or All Procedural and/or Other Terminations for the Report Month,2183,,1163,State Held Some or All Procedural and/or Other Terminations for the Report Month,5470,
AL,Alabama,202303,O,,,,,,,,,,,,,,,,,,
AL,Alabama,202303,U,,,,,,,,,,,,,,,,,,
AL,Alabama,202304,O,122192,Data Do Not Reflect All Medicaid and CHIP Enrollees With Renewal Actions in the Reporting Period,,,,,,,,,,,,,,,,
AL,Alabama,202304,U,,,,,,,,,,,,,,,,,,
AL,Alabama,202305,O,121685,Data Do Not Reflect All Medicaid and CHIP Enrollees With Renewal Actions in the Reporting Period,,,,,,,,,,,,,,,,
AL,Alabama,202305,U,,,,,,,,,,,,,,,,,,
AL,Alabama,202306,O,117961,,127533,,88306,,46133,,42173,,36359,,6412,,29947,,2868,
AL,Alabama,202306,U,,,127533,,89847,,46181,,43666,,37549,,6980,,30569,,137,
AL,Alabama,202307,O,107242,,131852,,83661,,43206,,40455,,44832,,4956,,39876,,3359,
AL,Alabama,202307,U,,,131852,,85745,,43267,,42478,,46098,,5624,,40474,,9,
AL,Alabama,202308,O,104021,,117961,,77032,,38606,,38426,,37791,,4035,,33756,,3138,
AL,Alabama,202308,U,,,117961,,78989,,38653,,40336,,38964,,4678,,34286,,8,
AL,Alabama,202309,O,94613,,107242,,69535,,38340,,31195,,34876,,4051,,30825,,2831,
AL,Alabama,202309,U,,,107242,,71311,,38415,,32896,,35918,,4568,,31350,,13,
